File Path,Questions
cat/behavior/why-do-cats-like-boxes,"1. 왜 고양이는 상자를 좋아할까요?
2. 고양이가 상자를 좋아하는 이유는 무엇인가요?
3. 상자는 고양이에게 어떤 기능을 제공하나요?
4. 상자가 고양이의 행동 문제를 줄여주나요?
5. 상자는 고양이에게 스트레스 완화를 도와줄까요?
6. 상자는 고양이와 공간을 공유하는 다른 반려동물들과의 관계를 조절하는 데 도움이 될까요?
7. 고양이에게 어떤 종류의 상자가 가장 적합한가요?
8. 상자에는 고양이를 위한 안전 조치가 필요한가요?
9. 상자를 사용하는 것이 고양이의 행동과 건강에 미치는 영향은 무엇인가요?
10. 상자를 제공하는 것이 고양이의 삶의 질을 향상시킬 수 있을까요?
11. 어떤 종류의 상자를 선택해야 할까요?
12. 어떻게 상자를 청소하고 관리해야 할까요?
13. 상자를 고양이에게 제공할 때 어떤 점을 유의해야 할까요?
14. 상자를 사용하는 것이 고양이의 행동 문제를 해결하는 데 도움이 될까요?
15. 상자를 제공함으로써 고양이의 삶에서 나타나는 부정적인 행동을 어떻게 경감시킬 수 있을까요?"
cat/behavior/can-cats-get-depressed,"자주 묻는 질문 샘플:
1. 고양이도 우울증이 있을 수 있나요? 
2. 고양이가 우울증에 걸렸다면 어떤 행동을 보일까요? 
3. 야외 고양이도 우울증을 겪을 수 있나요? 
4. 우울한 고양이를 힘들어하는 도움을 어떻게 줄 수 있을까요? 
5. 고양이와 질적 시간을 보내는 것이 어떻게 도움이 될까요? 
6. 새로운 장난감과 게임으로 고양이의 흥미를 끌 수 있을까요? 
7. 새로운 종류의 음식을 제공해도 도움이 될까요? 
8. 고양이를 진정시키는 음악은 있을까요? 
9. 보충제는 고양이의 우울증에 도움이 될까요? 
10. 고양이에게 페로몬과 향기를 사용할 수 있을까요? 
11. 다른 고양이와 함께 생활하는 것이 좋을까요? 
12. 전문적인 도움을 받을 수 있는 방법이 있을까요?"
cat/behavior/facts-about-your-cats-brain,"1. 왜 고양이들은 컵을 계속 쓰러뜨릴까요?
2. 고양이들은 인간이 손가락을 향해 가르키면 이해할 수 있나요?
3. 고양이들은 사물의 지속성을 이해할 수 있나요?
4. 고양이들은 사람에게 사회적인 단서를 얻기도 하나요?
5. 고양이들은 인간 유아와 비슷한 지능을 가지고 있나요?
6. 고양이들은 시간과 숫자의 개념을 이해할 수 있나요?
7. 고양이들의 단기 기억력과 장기 기억력은 어떻게 다른가요?
8. 고양이들의 장기 기억력은 어느 정도인가요?"
cat/behavior/surprising-ways-say-i-love-you-cat-language,"1. 어떻게 나의 고양이에게 사랑을 표현할 수 있나요?
2. 고양이에게 사랑하는 마음을 전하는 방법 중 하나는 무엇인가요?
3. 고양이와의 신뢰를 쌓기 위해 믿을 수 있는 일상적인 루틴은 어떻게 만들 수 있을까요?
4. 고양이와의 소통을 위해 어떤 규칙을 지켜야 할까요?
5. 고양이와 함께 놀기 위한 최고의 게임은 어떤 것인가요?
6. 고양이에게 영양가 있는 식사를 제공하기 위해 어떤 음식을 선택해야 할까요?
7. 고양이와의 퀄리티 타임을 보내기 위한 최고의 그루밍 방법은 무엇인가요?
8. 고양이의 애묘스타일을 보상하기 위해 어떤 방법을 사용할 수 있나요?
9. 고양이와 긍정적인 소통을 위해 어떤 언어와 음성을 사용해야 할까요?"
cat/behavior/clicker-training-cats,"1. 어떤 동물에게나 클리커 트레이닝을 시킬 수 있나요? 
2. 클리커 트레이닝이 고양이에게 어떤 형태의 육체적, 정신적 이익을 줄 수 있나요?  
3. 클리커 트레이닝에 대한 설명을 해주세요.  
4. 클리커 트레이닝은 어떻게 작동하나요?  
5. 클리커가 행동을 표시하고, 보상이 수혜자에게 주어지는 시간을 다리 역할을 하는 이유는 무엇인가요?
6. 클리커 트레이닝이 고양이 훈련에 도움을 주는 이유는 무엇인가요? 
7. 고양이를 클리커 트레이닝해야 하는 이유는 무엇인가요?
8. 클리커 트레이닝을 시작하기 위해 어떤 도구들이 필요한가요? 
9. 어떤 행동에 대해 클리커를 사용해야 하나요?
10. 클리커로 훈련을 시작하려면 어떤 작업을 먼저 해야 하나요? 
11. 클리커 훈련 도중에 어떤 신호를 줘야 하는가요?
12. 고양이를 클리커 트레이닝하는 팁이 있나요?
13. 클리커 트레이닝에 소요되는 시간은 얼마나 걸리나요?
14. 어느 나이에 고양이에게 클리커 트레이닝을 시작해야 하나요?
15. 클리커없이 고양이를 어떻게 훈련할 수 있나요?"
cat/behavior/why-do-cats-wiggle-their-butts-they-pounce,"1. 고양이가 사냥을 시작할 때 왜 엉덩이를 흔들까요?
2. 고양이의 엉덩이 흔들림의 원인은 무엇인가요?
3. 고양이의 엉덩이 흔들림은 안정성과 관련이 있나요?
4. 고양이가 엉덩이를 흔들게 하는 이유는 무엇인가요?
5. 고양이가 사냥을 계획할 때 왜 엉덩이를 흔들까요?
6. 엉덩이 흔들림은 고양이에게 재미를 주는 건가요?
7. 엉덩이 흔들림은 고양이가 배운 것인가요, 아니면 본능적인 행동인가요?
8. 고양이가 사냥을 원하는 징조로 어떤 신호를 보일까요?
9. 엉덩이 흔들림 이외에도 사냥을 시작하기 전에 나타나는 신호는 어떤 게 있을까요?
10. 고양이가 사냥 스킬을 연습하는 중이라고 엉덩이 흔들림을 보여줄 때, 그건 무슨 의미일까요?"
cat/behavior/why-cats-fight,"1. 왜 고양이들은 서로 싸울까요?
2. 고양이들이 게임을 할 때 어떤 행동들이 적절하고 어떤 행동들이 싸움이 될 수 있을까요?
3. 고양이들이 두려움에 의해 싸울 수도 있나요?
4. 고양이들이 경향성, 지위, 그리고 상호 싸움으로 싸울 수도 있나요?
5. 혼자 있을 때 고양이들이 서로 공격할 수도 있을까요?
6. 고양이들이 싸울 때 어떻게 그 싸움을 막을 수 있을까요?
7. 고양이들을 사이좋게 지낼 수 있는 방법은 무엇인가요?
8. 싸움이 계속되는 경우 어떻게 대처해야 할까요?
9. 고양이들의 성격 차이가 싸움을 유발할 수 있나요?
10. 암컷 고양이나 수컷 고양이를 중성화 시키는 것이 도움이 될까요?"
cat/behavior/why-do-cats-meow,"1. 왜 고양이들은 사람들에게 소리를 내며 의사소통할까요?
2. 고양이가 너무 자주 야옹하는 이유는 무엇인가요?
3. 야옹 소리의 의미는 무엇인가요?
4. 고양이가 소리를 내면서 인사를 할 때 그 의미는 무엇인가요?
5. 고양이가 자신의 존재를 알리기 위해 소리를 낼 수도 있는데, 그 의미는 무엇인가요?
6. 고양이가 소리를 내면서 뭔가를 요구하는 이유는 무엇인가요?
7. 고양이가 불안하거나 아픈 경우에 소리를 내는 이유는 무엇인가요?
8. 고양이가 경고하는 소리를 내는 이유는 무엇인가요?
9. 고양이가 '야울' 소리를 내는 이유는 무엇인가요?
10. 고양이가 소리를 낼 때 어떤 조치를 취해야 하나요?"
cat/behavior/is-my-cat-happy,"1. How can I tell if my cat is happy?
2. What are some signs of a happy cat?
3. Is purring a sign of a happy cat?
4. What does it mean when a cat kneads or makes biscuits?
5. Why do cats drool when they are happy?
6. What behaviors indicate that a cat is friendly and curious?
7. Do happy cats like to play?
8. What are some normal eating, sleeping, and grooming habits of a happy cat?
9. Why is using the litter box important for a happy cat?
10. What does it mean when a cat slow blinks?
11. Is meowing a sign of happiness in cats?
12. How can I tell if my cat is stressed or unhappy?
13. Can cats experience the same emotions as dogs?
14. Are there any other subtle signs of a happy cat that I should look out for?"
cat/behavior/cat-meowing,"1. 왜 내 고양이는 계속 울어대는 걸까요?
2. 고양이가 밤에 울어대는 이유는 무엇인가요?
3. 왜 내 새끼 고양이가 너무 많이 울어대나요?
4. 왜 내 고양이는 항상 배고플 때 울어대나요?
5. 왜 내 고양이의 울음소리가 다르게 들리나요?
6. 내 수컷 고양이가 울어대는 이유는 무엇인가요?
7. 고양이가 울렁거리면 어떻게 해야 하나요?
8. 고양이의 울음이 습관이 된 경우 어떻게 해야 하나요?
9. 왜 고양이가 계속 울어대는지 확인하기 위해 물어볼 수 있는 질문들은 어떤 것이 있나요?
10. 고양이가 계속 울어대면 수의사를 찾아가야 할 때가 언제인가요?
11. 수의사는 어떻게 고양이의 계속 울음을 진단하나요?"
